number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_lr,params_num_layers,state
38,0.025055330262744223,2026-06-03 12:04:31.835969,2026-06-03 12:07:26.090030,0 days 00:02:54.254061,64,0.2007650424118444,20,0.001,2,COMPLETE
39,0.025956096686422826,2026-06-03 12:07:26.091028,2026-06-03 12:10:02.321041,0 days 00:02:36.230013,32,0.40243188223292325,35,0.0001,1,COMPLETE
40,0.02504260324198624,2026-06-03 12:10:02.322041,2026-06-03 12:12:34.230371,0 days 00:02:31.908330,128,0.12605811579646667,50,0.001,2,COMPLETE
41,0.024810109496245097,2026-06-03 12:12:34.231367,2026-06-03 12:14:11.347327,0 days 00:01:37.115960,64,0.1603988218670606,35,0.0005,1,COMPLETE
42,0.024799984542588735,2026-06-03 12:14:11.348960,2026-06-03 12:15:45.012128,0 days 00:01:33.663168,64,0.10239093444016666,35,0.0005,1,COMPLETE
43,0.024886321726030315,2026-06-03 12:15:45.013128,2026-06-03 12:17:18.845905,0 days 00:01:33.832777,64,0.19567542850669156,35,0.0005,1,COMPLETE
44,0.024914587028966897,2026-06-03 12:17:18.846905,2026-06-03 12:18:52.954395,0 days 00:01:34.107490,64,0.1435000099978201,35,0.0005,1,COMPLETE
45,0.02478399296323287,2026-06-03 12:18:52.955393,2026-06-03 12:20:25.506998,0 days 00:01:32.551605,64,0.4391353147974026,35,0.0005,1,COMPLETE
46,0.024944039887708165,2026-06-03 12:20:25.507998,2026-06-03 12:22:51.761022,0 days 00:02:26.253024,32,0.4339491061364525,20,0.0005,1,COMPLETE
47,0.02474192568454249,2026-06-03 12:22:51.761022,2026-06-03 12:23:56.226037,0 days 00:01:04.465015,128,0.4810546803110843,35,0.001,1,COMPLETE
48,0.024827481086911827,2026-06-03 12:23:56.227037,2026-06-03 12:26:25.022794,0 days 00:02:28.795757,128,0.4872123583773685,50,0.001,2,COMPLETE
49,0.02479105693256033,2026-06-03 12:26:25.023278,2026-06-03 12:27:34.535561,0 days 00:01:09.512283,128,0.4125607830038527,35,0.001,1,COMPLETE
50,0.024709857486445327,2026-06-03 12:27:34.536565,2026-06-03 12:30:13.818000,0 days 00:02:39.281435,128,0.48905378624697277,50,0.001,2,COMPLETE
51,0.024683244654844547,2026-06-03 12:30:13.819003,2026-06-03 12:32:55.639403,0 days 00:02:41.820400,128,0.4780414760059429,50,0.001,2,COMPLETE
52,0.02482832910428787,2026-06-03 12:32:55.640396,2026-06-03 12:35:35.825839,0 days 00:02:40.185443,128,0.4838806854904379,50,0.001,2,COMPLETE
53,0.024840183556079865,2026-06-03 12:35:35.830232,2026-06-03 12:38:12.388351,0 days 00:02:36.558119,128,0.4790936894456503,50,0.001,2,COMPLETE
54,0.02494802158968202,2026-06-03 12:38:12.389351,2026-06-03 12:40:47.769527,0 days 00:02:35.380176,128,0.4488519653001966,50,0.001,2,COMPLETE
55,0.024818486245027905,2026-06-03 12:40:47.771006,2026-06-03 12:43:24.773126,0 days 00:02:37.002120,128,0.4954259713437638,50,0.001,2,COMPLETE
56,0.025035299553439534,2026-06-03 12:43:24.773126,2026-06-03 12:46:04.111877,0 days 00:02:39.338751,128,0.42187905632218525,50,0.001,2,COMPLETE
57,0.025011505160866112,2026-06-03 12:46:04.112872,2026-06-03 12:48:42.174147,0 days 00:02:38.061275,128,0.4989686857375805,50,0.001,2,COMPLETE
58,0.024823180496178824,2026-06-03 12:48:42.175148,2026-06-03 12:51:16.505329,0 days 00:02:34.330181,128,0.47086475444674486,50,0.001,2,COMPLETE
59,0.02485143984186238,2026-06-03 12:51:16.505329,2026-06-03 12:53:58.733039,0 days 00:02:42.227710,128,0.3806956941377534,50,0.001,2,COMPLETE
60,0.02469388800191468,2026-06-03 12:53:58.734036,2026-06-03 12:56:36.126788,0 days 00:02:37.392752,128,0.45770598441826893,50,0.001,2,COMPLETE
61,0.024980840241086894,2026-06-03 12:56:36.126788,2026-06-03 12:59:14.159076,0 days 00:02:38.032288,128,0.46004671997422464,50,0.001,2,COMPLETE
62,0.02497436054821672,2026-06-03 12:59:14.159407,2026-06-03 13:01:52.027999,0 days 00:02:37.868592,128,0.4402798542026293,50,0.001,2,COMPLETE
63,0.02467890886654114,2026-06-03 13:01:52.028999,2026-06-03 13:04:44.692117,0 days 00:02:52.663118,128,0.4788335110067521,50,0.001,2,COMPLETE
64,0.02480948639327082,2026-06-03 13:04:44.693118,2026-06-03 13:07:22.763913,0 days 00:02:38.070795,128,0.4753548032479291,50,0.001,2,COMPLETE
65,0.02497312349492106,2026-06-03 13:07:22.764912,2026-06-03 13:09:58.552640,0 days 00:02:35.787728,128,0.27815203692986207,50,0.001,2,COMPLETE
66,0.025664526280825554,2026-06-03 13:09:58.553640,2026-06-03 13:16:09.436291,0 days 00:06:10.882651,32,0.48836507532138757,50,0.0001,2,COMPLETE
67,0.025082639450656957,2026-06-03 13:16:09.436291,2026-06-03 13:18:46.394504,0 days 00:02:36.958213,128,0.323663559738251,50,0.001,2,COMPLETE
68,0.026345703478365744,2026-06-03 13:18:46.395504,2026-06-03 13:29:22.186201,0 days 00:10:35.790697,16,0.42461608584059735,50,0.001,2,COMPLETE
69,0.02473292480511912,2026-06-03 13:29:22.187202,2026-06-03 13:31:57.691484,0 days 00:02:35.504282,128,0.46345737499535505,50,0.001,2,COMPLETE
