number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_lr,params_num_layers,state
38,0.016391032032997292,2026-06-03 23:02:24.333858,2026-06-03 23:08:58.095615,0 days 00:06:33.761757,32,0.27449304640904054,50,0.001,2,COMPLETE
39,0.026817143069063666,2026-06-03 23:08:58.096610,2026-06-03 23:14:34.704008,0 days 00:05:36.607398,32,0.16105703881654485,20,0.0001,2,COMPLETE
40,0.015236263312086338,2026-06-03 23:14:34.705105,2026-06-03 23:21:03.062497,0 days 00:06:28.357392,32,0.12316037326193838,50,0.001,2,COMPLETE
41,0.016529526878461365,2026-06-03 23:21:03.063497,2026-06-03 23:27:43.731457,0 days 00:06:40.667960,32,0.12371593827338229,50,0.001,2,COMPLETE
42,0.015837457207101984,2026-06-03 23:27:43.736541,2026-06-03 23:34:05.179064,0 days 00:06:21.442523,32,0.16694084311792073,50,0.001,2,COMPLETE
43,0.015427310458000968,2026-06-03 23:34:05.180060,2026-06-03 23:40:33.054521,0 days 00:06:27.874461,32,0.12023084895940189,50,0.001,2,COMPLETE
44,0.01425338103220712,2026-06-03 23:40:33.054521,2026-06-03 23:47:02.938389,0 days 00:06:29.883868,32,0.11822341783467087,50,0.001,2,COMPLETE
45,0.01702071333640576,2026-06-03 23:47:02.938925,2026-06-03 23:52:27.634996,0 days 00:05:24.696071,32,0.1443317505109456,20,0.001,2,COMPLETE
46,0.016873937367927284,2026-06-03 23:52:27.635988,2026-06-03 23:56:38.786047,0 days 00:04:11.150059,64,0.11249926936934666,50,0.001,2,COMPLETE
47,0.033999190138032036,2026-06-03 23:56:38.787047,2026-06-03 23:59:27.347822,0 days 00:02:48.560775,128,0.1764127407987822,50,0.0001,2,COMPLETE
48,0.0165782543681875,2026-06-03 23:59:27.348815,2026-06-04 00:04:53.129502,0 days 00:05:25.780687,32,0.1285037556715086,20,0.001,2,COMPLETE
49,0.014501962939887737,2026-06-04 00:04:53.130501,2026-06-04 00:11:20.827785,0 days 00:06:27.697284,32,0.15110051634370292,50,0.001,2,COMPLETE
50,0.017881230323109776,2026-06-04 00:11:20.828784,2026-06-04 00:15:32.031997,0 days 00:04:11.203213,64,0.15180420552869434,50,0.001,2,COMPLETE
51,0.01603762713992702,2026-06-04 00:15:32.033002,2026-06-04 00:21:59.523663,0 days 00:06:27.490661,32,0.18478755331547222,50,0.001,2,COMPLETE
52,0.017514142184322623,2026-06-04 00:21:59.524657,2026-06-04 00:28:27.322902,0 days 00:06:27.798245,32,0.11643002308926931,50,0.001,2,COMPLETE
53,0.017489702994504773,2026-06-04 00:28:27.323898,2026-06-04 00:34:51.794828,0 days 00:06:24.470930,32,0.10098306874294191,50,0.001,2,COMPLETE
54,0.015928538290181142,2026-06-04 00:34:51.794828,2026-06-04 00:41:19.645665,0 days 00:06:27.850837,32,0.14790153900071404,50,0.001,2,COMPLETE
55,0.034902099333703515,2026-06-04 00:41:19.646665,2026-06-04 00:44:08.312207,0 days 00:02:48.665542,128,0.16700816499122828,50,0.0001,2,COMPLETE
56,0.018631848230754502,2026-06-04 00:44:08.313208,2026-06-04 00:50:36.723769,0 days 00:06:28.410561,32,0.4046143854099044,50,0.0005,2,COMPLETE
57,0.020424572574835615,2026-06-04 00:50:36.724767,2026-06-04 00:56:03.532757,0 days 00:05:26.807990,32,0.484644996211948,20,0.001,2,COMPLETE
58,0.015200146963084195,2026-06-04 00:56:03.532757,2026-06-04 01:02:32.835805,0 days 00:06:29.303048,32,0.13635049888827272,50,0.001,2,COMPLETE
59,0.01676084188123544,2026-06-04 01:02:32.836805,2026-06-04 01:06:13.732818,0 days 00:03:40.896013,64,0.2306050877287203,35,0.001,2,COMPLETE
60,0.01588873686112401,2026-06-04 01:06:13.733817,2026-06-04 01:12:40.554910,0 days 00:06:26.821093,32,0.45095143979208213,50,0.001,2,COMPLETE
61,0.019281561604794897,2026-06-04 01:12:40.554910,2026-06-04 01:19:08.909609,0 days 00:06:28.354699,32,0.13761169191094905,50,0.001,2,COMPLETE
62,0.016189340858117622,2026-06-04 01:19:08.910611,2026-06-04 01:25:33.641663,0 days 00:06:24.731052,32,0.1290385747365088,50,0.001,2,COMPLETE
63,0.016084860680632668,2026-06-04 01:25:33.642663,2026-06-04 01:32:01.964815,0 days 00:06:28.322152,32,0.18987464218381372,50,0.001,2,COMPLETE
64,0.015736993940296668,2026-06-04 01:32:01.965814,2026-06-04 01:38:29.424796,0 days 00:06:27.458982,32,0.1584112884166409,50,0.001,2,COMPLETE
65,0.02396627174069484,2026-06-04 01:38:29.424796,2026-06-04 01:40:52.617106,0 days 00:02:23.192310,128,0.11813488075187727,35,0.0005,2,COMPLETE
66,0.017889012455423715,2026-06-04 01:40:52.618103,2026-06-04 01:47:19.563296,0 days 00:06:26.945193,32,0.21237321847231122,50,0.001,2,COMPLETE
67,0.015715529176625696,2026-06-04 01:47:19.564296,2026-06-04 01:53:43.525587,0 days 00:06:23.961291,32,0.14388600612265823,50,0.001,2,COMPLETE
68,0.025787849073149578,2026-06-04 01:53:43.526587,2026-06-04 01:59:52.876819,0 days 00:06:09.350232,32,0.1751823540258078,35,0.0001,2,COMPLETE
69,0.018709994847651477,2026-06-04 01:59:52.877820,2026-06-04 02:06:17.406207,0 days 00:06:24.528387,32,0.1998181646595663,50,0.001,2,COMPLETE
