time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-657688576.0,0.0988167453192704,0.0705634802579879,-0.0258124619722366,-0.1176853105425834,-0.313177943265241,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.098816745,0.07056348,0.01,0.01,0.01,0.01,0.37631625,0.06749379,0.06628701,0.010008418,0.01379133,0.020919517,0.19916384,-0.2064817743057245,0.2949103925685985
0.02,-657688576.0,0.1125080215329907,0.0544067807495594,-0.0337799005210399,-0.1071836650371551,-0.396092510361595,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.11250802,0.05440678,0.01,0.01,0.01,0.01,0.37631625,0.086668774,0.065461,0.010007591,0.013414948,0.019815296,0.19916384,-0.204651064429268,0.0824222725934385
0.03,-657688576.0,0.1834992341971123,0.0563510507345199,-0.042808748781681,-0.0944495052099227,-0.3921958208084106,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.18349923,0.05635105,0.01,0.01,0.01,0.01,0.37631625,0.13705687,0.06440723,0.010006844,0.013075884,0.018824391,0.19916384,-0.2051805803742473,-0.1691649740331723
0.04,-657688576.0,0.1681391391362111,0.0476510748267173,-0.0532710142433643,-0.0784163996577262,-0.3770012557506561,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.16813914,0.047651075,0.01,0.01,0.01,0.01,0.37631625,0.15600605,0.06263916,0.01000617,0.012770493,0.017935006,0.19916384,-0.2085910339920054,-0.4815755150595668
0.05,-657688576.0,0.1825392229103081,0.0323942750692367,-0.0665148124098777,-0.0626035779714584,-0.3623586893081665,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.18253922,0.032394275,0.01,0.01,0.01,0.01,0.37631625,0.17532414,0.059474453,0.010005562,0.012495613,0.017137008,0.19916384,-0.2151603603522612,-0.7842973417770995
0.06,-657688576.0,0.1561064257351533,0.011324968189001,-0.091371364891529,-0.0329323709011077,-0.3320200741291046,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15610643,0.011324968,0.01,0.01,0.01,0.01,0.37631625,0.17608951,0.054435644,0.010005014,0.012248185,0.016420748,0.19916384,-0.2243761844870991,-1.0147931028797916
0.07,-657688576.0,0.1325224654238861,-0.0153262000530958,-0.1161838918924331,0.016331136226654,-0.2783489525318146,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.13252246,0.01,0.01,0.016331136,0.01,0.01,0.37631625,0.17187755,0.04956754,0.01000452,0.015083292,0.015777592,0.19916384,-0.2353926295301446,-1.150970735286643
0.08,-657688576.0,0.1053604065440699,-0.0433628223836422,-0.1265555024147033,-0.0097421668469905,-0.2478529214859008,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1053604,0.01,0.01,0.01,0.01,0.01,0.37631625,0.16413544,0.04526455,0.010004075,0.014848128,0.015199848,0.19916384,-0.2470232090838517,-1.1562557771451174
0.09,-657688576.0,0.0874757763048806,-0.0681018829345703,-0.1417963206768036,0.0514773391187191,-0.2408230900764465,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08747578,0.01,0.01,0.05147734,0.01,0.01,0.37631625,0.15433282,0.04147585,0.010003675,0.040522154,0.014681529,0.19916384,-0.2581044491794825,-1.038113976197418
0.1,-657688576.0,0.0789642869489125,-0.0847002267837524,-0.1518244594335556,-0.0806074738502502,-0.1979515645924278,-3260741844992.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.078964286,0.01,0.01,0.01,0.01,0.01,0.37631625,0.14456855,0.038123053,0.010003313,0.038928274,0.014215301,0.19916384,-0.2668000106663755,-0.7044365628321967
