time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-607624768.0,-0.1305579394102096,-0.0209628883749246,-0.0841012671589851,-0.0186507124453783,0.025774547704785,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.025774548,0.01,0.44909546,0.090157874,0.026281238,0.010009458,0.021125028,0.016671918,0.21655537,-0.2619101770839354,0.154329660818603
0.02,-607624768.0,-0.1236335858702659,-0.0121564418077468,-0.0781925991177558,-0.0270391348749399,0.0391988594560878,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.03919886,0.01,0.44909546,0.08059715,0.024606435,0.010008525,0.019995613,0.026849287,0.21655537,-0.2600586557319525,0.2152024419599951
0.03,-607624768.0,-0.1212778240442276,-0.0015061497688293,-0.0737071111798286,-0.0341608338057994,-0.0015899901898523,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44909546,0.07236207,0.02311231,0.010007686,0.01898514,0.027194971,0.21655537,-0.2572483416949442,0.3432034364575253
0.04,-607624768.0,-0.12079818546772,0.0127533208578825,-0.0669866129755973,-0.0419749952852726,0.0062946932210926,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.012753321,0.01,0.01,0.01,0.01,0.44909546,0.0652074,0.022019127,0.010006928,0.018078147,0.025937822,0.21655537,-0.2528221158753324,0.5196242752109388
0.05,-607624768.0,-0.1184795647859573,0.031914472579956,-0.0553460195660591,-0.0526338219642639,-0.0182556463152857,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.031914473,0.01,0.01,0.01,0.01,0.44909546,0.05895243,0.028408203,0.010006243,0.017262327,0.02429523,0.21655537,-0.2465331105007483,0.6972550135337824
0.06,-607624768.0,-0.1141323745250701,0.0019203899428248,-0.0378977954387664,-0.0725287944078445,-0.0575857600420527,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44909546,0.053501822,0.02756776,0.010005628,0.016532274,0.022831876,0.21655537,-0.2387919192614294,0.8215847285796364
0.07,-607624768.0,-0.1109818890690803,0.0445967875421047,-0.0211161747574806,-0.0935447365045547,-0.0993288938835973,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.044596788,0.01,0.01,0.01,0.01,0.44909546,0.048725802,0.038924955,0.010005073,0.015877632,0.021524817,0.21655537,-0.230136877556204,0.8880593260701174
0.08,-607624768.0,-0.1101400479674339,0.0146323321387171,-0.0205368474125862,-0.1123824566602706,-0.1338657172638144,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.014632332,0.01,0.01,0.01,0.01,0.44909546,0.04452164,0.03765737,0.0100045735,0.015289603,0.020354822,0.21655537,-0.2212955342449706,0.8696399972868211
0.09,-607624768.0,-0.1088209000505487,0.0628244429826736,-0.0111004300415515,-0.1254558861255645,-0.155741967083855,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06282444,0.01,0.01,0.01,0.01,0.44909546,0.040812444,0.054613702,0.010004123,0.014761361,0.01930706,0.21655537,-0.212948755367663,0.7996523987440964
0.1,-607624768.0,-0.0513764704615394,0.0291391648352146,-0.0100490264594554,-0.1313290745019912,-0.1768293076915366,-3096816123904.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.029139165,0.01,0.01,0.01,0.01,0.44909546,0.037526242,0.053844225,0.010003717,0.014285895,0.018366575,0.21655537,-0.2056837312006391,0.6638417906264341
