time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-585320512.0,0.0512562899250286,-0.0519386418163776,-0.1033120304346084,-0.0179758947342634,-0.1799855776308158,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.05125629,0.01,0.01,0.01,0.01,0.01,0.49143907,0.1326028,0.033467874,0.0100305835,0.030883836,0.011600801,0.10321411,-0.2468948749214098,-0.0123857619564339
0.02,-585320512.0,0.0063527927474813,-0.0320564955472946,-0.0908508226275444,-0.0140144824981689,-0.1345380314685292,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49143907,0.119062796,0.031013433,0.010027572,0.028713632,0.011442489,0.10321411,-0.2460989958882383,0.1349002845268041
0.03,-585320512.0,-0.0534199980153825,-0.0134396431967616,-0.0787031725049018,-0.0211304873228073,-0.0774631180087305,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49143907,0.10529107,0.028829055,0.010024856,0.026779482,0.011299893,0.10321411,-0.2443993719664962,0.1864848016194684
0.04,-585320512.0,-0.1147684901952743,-0.0029983157292008,-0.0732597559690475,-0.0295511037111282,-0.0089269970392613,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49143907,0.09355492,0.026878743,0.010022404,0.02505044,0.011171221,0.10321411,-0.2424763459481732,0.1946064668712656
0.05,-585320512.0,-0.1084300577640533,0.0083844941109418,-0.0697204768657684,-0.036230381578207,0.0505915315554022,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.050591532,0.01,0.49143907,0.08354652,0.025143683,0.010020199,0.023510456,0.030690169,0.10321411,-0.2403942260473892,0.2293984230607693
0.06,-585320512.0,-0.1090475171804428,0.0187786370515823,-0.0627897903323173,-0.0418439023196697,-0.0586871141174716,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.018778637,0.01,0.01,0.01,0.01,0.49143907,0.07492845,0.024398942,0.010018213,0.02213426,0.03114484,0.10321411,-0.2374434690563339,0.3664009914564048
0.07,-585320512.0,-0.1108225807547569,0.0250864773988723,-0.0576471351087093,-0.0488669276237487,-0.0155213191080784,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.025086477,0.01,0.01,0.01,0.01,0.49143907,0.06744323,0.024846813,0.010016418,0.020900225,0.02894488,0.10321411,-0.2326454669427001,0.5684901661251108
0.08,-585320512.0,-0.1088590025901794,0.0322202518582344,-0.0523285046219825,-0.0593807660043239,-0.0212431783252662,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.03222025,0.01,0.01,0.01,0.01,0.49143907,0.060905382,0.02965316,0.010014796,0.019791784,0.026978318,0.10321411,-0.2258074150526058,0.7540793210587089
0.09,-585320512.0,-0.1042496263980865,0.022317711263895,-0.0349132940173149,-0.0801234692335128,-0.0546617746072502,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.022317711,0.01,0.01,0.01,0.01,0.49143907,0.055217978,0.029478572,0.010013338,0.018801855,0.02523004,0.10321411,-0.2175393696109056,0.8708872727603715
0.1,-585320512.0,-0.1015395745635032,0.0633971914649009,-0.0156559236347675,-0.1019738316535949,-0.0959431045947639,-5158245236736.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06339719,0.01,0.01,0.01,0.01,0.49143907,0.050241485,0.052697614,0.010012026,0.017915722,0.02367133,0.10321411,-0.2085082825469222,0.9147386326898642
