time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-604213440.0,-0.1185081899166107,-0.0083192512392997,-0.07400943338871,-0.0265633929520845,-0.0075988530427532,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4550927,0.09259233,0.02672479,0.010010337,0.025302315,0.011751036,0.27027908,-0.2535259026558323,0.2780933224141247
0.02,-604213440.0,-0.1091185212135315,0.0073114521801471,-0.0670249238610267,-0.0351417176425457,0.0535361366952097,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.053536136,0.01,0.4550927,0.08269602,0.025003195,0.010009319,0.023732817,0.0320797,0.27027908,-0.2508386863896679,0.2704692766539526
0.03,-604213440.0,-0.1089444682002067,0.0201929248869419,-0.0622742213308811,-0.0410539731383323,-0.0608364236307512,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.020192925,0.01,0.01,0.01,0.01,0.4550927,0.07419621,0.024407757,0.010008402,0.022333574,0.032447252,0.27027908,-0.2476761076776153,0.3740669908078666
0.04,-604213440.0,-0.1119996830821037,0.0236859656870365,-0.0570464432239532,-0.0471599586308002,-0.0170556721614552,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.023685966,0.01,0.01,0.01,0.01,0.4550927,0.066804916,0.024290442,0.010007574,0.021078298,0.030103547,0.27027908,-0.2429073527585097,0.5601225616206115
0.05,-604213440.0,-0.1113256588578224,0.0334303602576255,-0.0514598935842514,-0.0579289309680461,-0.0242799394292182,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.03343036,0.01,0.01,0.01,0.01,0.4550927,0.060349155,0.030247577,0.010006825,0.019951237,0.028010624,0.27027908,-0.2361105526611435,0.7556389048843399
0.06,-604213440.0,-0.1071090474724769,0.0134468674659729,-0.0305496864020824,-0.0773694664239883,-0.0592640771987383,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.0134468675,0.01,0.01,0.01,0.01,0.4550927,0.05473478,0.029221408,0.010006154,0.018945325,0.026152272,0.27027908,-0.2277719962382555,0.8824470653004567
0.07,-604213440.0,-0.1039972901344299,0.062932088971138,-0.0242343321442604,-0.0986365899443626,-0.1010279869987959,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06293209,0.01,0.01,0.01,0.01,0.4550927,0.049817074,0.05241195,0.010005548,0.018044429,0.024495345,0.27027908,-0.218590485353139,0.9319989789044582
0.08,-604213440.0,-0.1037189811468124,0.008421666920185,-0.0083030574023723,-0.1177915036678314,-0.1372046790434388,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4550927,0.04548445,0.04989728,0.010005002,0.017235255,0.023012923,0.27027908,-0.2095783286860515,0.8598912585048307
0.09,-604213440.0,-0.1080876216292381,0.04904305934906,-0.0048784092068672,-0.1298193484544754,-0.1599594020830538,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.04904306,0.01,0.01,0.01,0.01,0.4550927,0.041658565,0.049236532,0.010004508,0.016508298,0.021685803,0.27027908,-0.2017919543617523,0.7146435205797822
0.1,-604213440.0,-0.0696407108153744,0.0825717002153396,-0.0094532370567321,-0.1318133771419525,-0.1711586149883001,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.0825717,0.01,0.01,0.01,0.01,0.4550927,0.0382722,0.07198204,0.010004064,0.01585488,0.020496702,0.27027908,-0.1955151396700505,0.5636755358397293
0.1100000000000001,-604213440.0,-0.019999425744278,0.0423086211085319,-0.01633932441473,-0.1270722448825836,-0.2017441682451098,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.04230862,0.01,0.01,0.01,0.01,0.4550927,0.035267673,0.07158291,0.010003662,0.015267158,0.01943017,0.27027908,-0.1909364731744126,0.3835985662169753
0.1200000000000001,-604213440.0,0.0327937162016828,0.0593446195125579,-0.0242580026388168,-0.1182343661785125,-0.2490131957684943,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.032793716,0.05934462,0.01,0.01,0.01,0.01,0.4550927,0.03342445,0.06969835,0.0100033,0.014739322,0.01847479,0.27027908,-0.1881620011530123,0.2130654091710302
0.1299999999999999,-604213440.0,0.0880178814586513,0.0687637850642204,-0.0327703952789306,-0.1069688498973846,-0.3079615657501433,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08801788,0.068763785,0.01,0.01,0.01,0.01,0.4550927,0.059810724,0.06941797,0.010002975,0.014267049,0.017622028,0.27027908,-0.1867259352576892,0.0951654371595662
0.1399999999999999,-604213440.0,0.0906676805978949,0.0668615773320198,-0.0396704003214836,-0.096659168601036,-0.3776136696089188,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.09066768,0.06686158,0.01,0.01,0.01,0.01,0.4550927,0.07283734,0.06914635,0.010002683,0.013842795,0.016857559,0.27027908,-0.1863824103625739,-0.0182695215807729
0.1499999999999999,-604213440.0,0.1651448059738224,0.0611253269016742,-0.045723371207714,-0.0872314572334289,-0.3870508968830108,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1651448,0.061125327,0.01,0.01,0.01,0.01,0.4550927,0.12132152,0.06828525,0.010002419,0.013461136,0.016171105,0.27027908,-0.1872791724722491,-0.1572955960080589
0.1599999999999999,-604213440.0,0.1523737040983719,0.0532781742513179,-0.0519541129469871,-0.0782015547156333,-0.3787126839160919,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1523737,0.053278174,0.01,0.01,0.01,0.01,0.4550927,0.13870727,0.0666746,0.010002181,0.0131172445,0.015553589,0.27027908,-0.1900028327720052,-0.3735626951724602
0.1699999999999999,-604213440.0,0.1853718709725538,0.0421574637293815,-0.0623588375747203,-0.0681866630911827,-0.3681299388408661,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.18537188,0.042157464,0.01,0.01,0.01,0.01,0.4550927,0.169183,0.06400265,0.010001966,0.012807014,0.014997331,0.27027908,-0.1952052654967652,-0.6254271092631944
0.1799999999999999,-604213440.0,0.164516348848436,0.0252888891845941,-0.0810824334621429,-0.0455899685621261,-0.3444771468639374,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.16451634,0.02528889,0.01,0.01,0.01,0.01,0.4550927,0.17551652,0.060063504,0.010001771,0.012526766,0.014495491,0.27027908,-0.2030285529875894,-0.8741631897127955
0.1899999999999999,-604213440.0,0.1570547485700963,0.0007670670747756,-0.1030403301119804,-0.004044122993946,-0.3007727861404419,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15705475,0.01,0.01,0.01,0.01,0.01,0.4550927,0.1749584,0.054821853,0.010001596,0.01227528,0.014045718,0.27027908,-0.2130867308702979,-1.0855986123128436
0.1999999999999999,-604213440.0,0.1344984643628767,-0.0240977928042411,-0.1236788406968116,0.0282670184969902,-0.2670288383960724,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.13449846,0.01,0.01,0.028267018,0.01,0.01,0.4550927,0.17083949,0.04988704,0.010001439,0.023197498,0.013642989,0.27027908,-0.2247683585670986,-1.208444420636228
0.2099999999999999,-604213440.0,0.1095946713480643,-0.0502065420150756,-0.1395871639251709,-0.0591690242290496,-0.2498941123485565,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.10959467,0.01,0.01,0.01,0.01,0.01,0.4550927,0.16353434,0.045548398,0.010001297,0.022702638,0.013280899,0.27027908,-0.2365949050326293,-1.132062381587387
0.2199999999999999,-604213440.0,0.0935084034358751,-0.0712114870548248,-0.1377088874578476,-0.0100048668682575,-0.2491819560527801,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.0935084,0.01,0.01,0.01,0.01,0.01,0.4550927,0.15462928,0.041719176,0.0100011695,0.021409448,0.012954956,0.27027908,-0.2467402728162582,-0.9151623949555512
0.2299999999999999,-604213440.0,0.0887517378074916,-0.0797167271375656,-0.1365144848823547,0.0451464690268039,-0.2248083043445291,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08875174,0.01,0.01,0.04514647,0.01,0.01,0.4550927,0.14603224,0.03833592,0.010001054,0.037784945,0.012661811,0.27027908,-0.2545507679257916,-0.6641218199122401
0.24,-604213440.0,0.0629053345260071,-0.076799675822258,-0.1324861943721771,-0.0464966967701911,-0.1808431476512995,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.062905334,0.01,0.01,0.01,0.01,0.01,0.4550927,0.13666499,0.035335436,0.010000951,0.036514137,0.012397735,0.27027908,-0.2593810097962825,-0.3367332797188806
0.25,-604213440.0,0.0198029863765452,-0.0636567771434784,-0.1187042742967605,-0.0288625266402959,-0.1388895146173165,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.019802986,0.01,0.01,0.01,0.01,0.01,0.4550927,0.12409262,0.03266653,0.010000857,0.033712924,0.012159563,0.27027908,-0.2608081463034484,-0.0144749144268741
0.26,-604213440.0,-0.0332394012385093,-0.0427582338452339,-0.1002465263009071,-0.019486553966999,-0.0902031311254639,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4550927,0.109692946,0.030300591,0.010000772,0.031231334,0.011945675,0.27027908,-0.2595358801692694,0.220954573793851
0.27,-604213440.0,-0.0991857333346987,-0.0206851940602064,-0.0832169651985168,-0.0223930161446332,-0.0288276366301867,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4550927,0.09733645,0.028194055,0.010000696,0.029023096,0.01175308,0.27027908,-0.256558564853235,0.3414309957929282
0.28,-604213440.0,-0.1167090386152267,-0.0054970057681202,-0.0726909711956977,-0.0309095848351717,0.0399143316453151,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.039914332,0.01,0.4550927,0.086795986,0.02631806,0.0100006275,0.027057538,0.0235557,0.27027908,-0.2528960558672299,0.3791343638239895
0.29,-604213440.0,-0.1075401157140731,0.0145028177648782,-0.0631769225001335,-0.0392921864986419,-0.0262357552736393,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.014502818,0.01,0.01,0.01,0.01,0.4550927,0.07771443,0.025036143,0.010000566,0.02530134,0.025183126,0.27027908,-0.2488270806695139,0.4385558852190123
0.3,-604213440.0,-0.1058279573917388,0.0312561020255088,-0.0541986227035522,-0.0468706898391246,0.0022779761769213,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.031256102,0.01,0.01,0.01,0.01,0.4550927,0.06986231,0.029208014,0.01000051,0.023732942,0.023627313,0.27027908,-0.2438353937253212,0.5491260562351578
0.31,-604213440.0,-0.1064524203538894,0.0121181812137365,-0.0487246215343475,-0.0575743094086647,-0.0055411525448037,-2723675373568.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.012118181,0.01,0.01,0.01,0.01,0.4550927,0.062998965,0.028431686,0.01000046,0.02232403,0.022229617,0.27027908,-0.2376713476965938,0.6566300616254428
