time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-859950912.0,0.177917738244739,0.0773537009954452,-0.0182175524532794,-0.1182582527399063,-0.41407310962677,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.17791773,0.0773537,0.01,0.01,0.01,0.01,0.227419,0.12896244,0.06975255,0.010006591,0.018647943,0.03197506,0.47837275,-0.2019481500682147,0.2722553948898904
0.02,-859950912.0,0.235662247442692,0.0480743646621704,-0.0298189353197813,-0.1081693470478057,-0.404282659292221,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.23566225,0.048074365,0.01,0.01,0.01,0.01,0.227419,0.18318813,0.068410754,0.010005942,0.017777525,0.029687336,0.47837275,-0.2014033296826026,-0.1412458244027692
0.03,-859950912.0,0.2080989055259526,0.0482213571667671,-0.045532040297985,-0.0887969657778739,-0.3867055773735046,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.2080989,0.048221357,0.01,0.01,0.01,0.01,0.227419,0.2034925,0.06610578,0.010005357,0.016995817,0.027647598,0.47837275,-0.2056301859928953,-0.6443709959780378
0.04,-859950912.0,0.1766976445724201,0.0320895165205001,-0.0638233423233032,-0.0644126832485199,-0.3650813102722168,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.17669764,0.032089517,0.01,0.01,0.01,0.01,0.227419,0.20477946,0.06245847,0.01000483,0.016294943,0.025830818,0.47837275,-0.2144890203722447,-1.0517208483249467
0.05,-859950912.0,0.1313482969932631,0.0010785730555653,-0.0995314419269561,-0.020115740597248,-0.3224740028381347,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1313483,0.01,0.01,0.01,0.01,0.01,0.227419,0.19673839,0.05683222,0.010004355,0.015665438,0.024208529,0.47837275,-0.2262228049323497,-1.243099646049795
0.06,-859950912.0,0.0991490589007246,-0.0321530103683471,-0.1313365846872329,0.0504700765013694,-0.2422810196876526,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.099149056,0.01,0.01,0.050470077,0.01,0.01,0.227419,0.18398649,0.051663313,0.010003926,0.039970722,0.022759229,0.47837275,-0.2388303295531106,-1.2340947848079626
0.07,-859950912.0,0.0861650950912411,-0.0613758973777294,-0.1407378017902374,-0.0758403018116951,-0.1582132027078113,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08616509,0.01,0.01,0.01,0.01,0.01,0.227419,0.17060591,0.047119867,0.010003541,0.038227443,0.021462576,0.47837275,-0.2497721084945061,-0.9395877825277108
0.08,-859950912.0,0.0188303875546231,-0.0759453326463699,-0.1439277827739715,-0.0285798795521259,-0.0786287594925952,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.018830387,0.01,0.01,0.01,0.01,0.01,0.227419,0.153497,0.043107327,0.010003192,0.0352408,0.020299584,0.47837275,-0.2566937712794984,-0.4909476279405475
0.09,-859950912.0,-0.0783133150274889,-0.0692450478672981,-0.1300891190767288,0.0066122449934482,-0.000849850838885,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.227419,0.13432537,0.03956465,0.010002878,0.032591045,0.019258223,0.47837275,-0.2591921563012881,-0.0747222630741716
0.1,-859950912.0,-0.1322849988937378,-0.0481580793857574,-0.1077559068799018,0.0091969855129718,0.0992297814639855,-2069388197888.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.09922978,0.01,0.227419,0.11820138,0.036432028,0.010002595,0.030237839,0.05745711,0.47837275,-0.2582874775041325,0.2082237197369889
