time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-714293568.0,-0.0149058961985363,0.0187884923070669,-0.0084651969373226,-0.1197320967912674,-0.1769063711854805,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.018788492,0.01,0.01,0.01,0.01,0.31804115,0.04922017,0.053919278,0.010034549,0.017198011,0.026663382,0.18241799,-0.202577065395507,0.7326419398905247
0.02,-714293568.0,0.0550902616774102,0.0513745322823524,-0.0092923715710639,-0.1267716288566589,-0.2450652301086726,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.055090263,0.051374532,0.01,0.01,0.01,0.01,0.31804115,0.04897338,0.053116854,0.010031138,0.016473582,0.024944915,0.18241799,-0.1961582580187602,0.5776875154549742
0.03,-714293568.0,0.1101321921905235,0.0765972733497619,-0.0156725384294986,-0.125040590763092,-0.3324170724020228,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.110132195,0.07659727,0.01,0.01,0.01,0.01,0.31804115,0.077290714,0.068308815,0.010028074,0.01582576,0.023416463,0.18241799,-0.1912579754640091,0.4109361974331326
0.04,-714293568.0,0.1589793459523154,0.0498262420296669,-0.0223662257194519,-0.1187927648425102,-0.4154120981693268,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15897934,0.049826242,0.01,0.01,0.01,0.01,0.31804115,0.11634907,0.06740474,0.010025312,0.015243908,0.022050036,0.18241799,-0.1884908786584596,0.1497804387176661
0.05,-714293568.0,0.1988243672507225,0.0588808916509151,-0.0324424132704734,-0.1069504097104072,-0.4048392474651336,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.19882436,0.05888089,0.01,0.01,0.01,0.01,0.31804115,0.15907796,0.06631208,0.01002282,0.01472036,0.020825582,0.18241799,-0.1889627779214676,-0.2142501089178115
0.06,-714293568.0,0.1954145693562917,0.0527160353958606,-0.0462227538228035,-0.0875763893127441,-0.3870042264461517,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.19541457,0.052716035,0.01,0.01,0.01,0.01,0.31804115,0.18284538,0.064867094,0.010020572,0.014249562,0.019728605,0.18241799,-0.1934726703848147,-0.6349295487052449
0.07,-714293568.0,0.1810726749154811,0.035121314227581,-0.0644162520766258,-0.066439650952816,-0.3674785494804382,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.18107268,0.035121314,0.01,0.01,0.01,0.01,0.31804115,0.19100006,0.061755117,0.010018546,0.013826346,0.018745814,0.18241799,-0.2019519682395707,-0.9950630134050984
0.08,-714293568.0,0.1501807572791406,0.0048775542527437,-0.0968618094921112,-0.0210097394883632,-0.3223900496959686,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15018076,0.01,0.01,0.01,0.01,0.01,0.31804115,0.18750647,0.056317218,0.010016719,0.013445701,0.017864546,0.18241799,-0.2132650891163788,-1.2179874319703954
0.09,-714293568.0,0.1173895812507238,-0.0260486043989658,-0.1268539726734161,0.0398428216576576,-0.2537831664085388,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.11738958,0.01,0.01,0.03984282,0.01,0.01,0.31804115,0.17930797,0.05120903,0.010015075,0.03176112,0.017074993,0.18241799,-0.2260377191861471,-1.2908560656836694
0.1,-714293568.0,0.0936495666640802,-0.0559960566461086,-0.1457323580980301,-0.0738864913582801,-0.2350286543369293,-3448119230464.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.093649566,0.01,0.01,0.01,0.01,0.01,0.31804115,0.16822904,0.046717897,0.010013592,0.030690288,0.016366158,0.18241799,-0.2381356819222963,-1.1050478634631786
