time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-910327232.0,-0.1047881767153739,-0.0021404819563031,-0.0719364583492279,-0.0284814424812793,-0.0390509277906564,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20701791,0.089664444,0.02984909,0.010012767,0.024906104,0.04546158,0.46468472,-0.2513112654282783,0.624149535796053
0.02,-910327232.0,-0.0911197587847709,0.0316483490169048,-0.0544347614049911,-0.0439993031322956,-0.0967323112224764,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.03164835,0.01,0.01,0.01,0.01,0.20701791,0.080176264,0.030967873,0.010011508,0.023378545,0.041638363,0.46468472,-0.2444444310595509,0.7265156314471144
0.03,-910327232.0,-0.0858063176274299,0.0428637191653251,-0.0392323620617389,-0.0614416934549808,-0.1340733878394968,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.04286372,0.01,0.01,0.01,0.01,0.20701791,0.07198505,0.03883855,0.010010374,0.022012653,0.038258027,0.46468472,-0.2367899995149796,0.7870938200653843
0.04,-910327232.0,-0.0048240595816776,0.0224744621664285,-0.0220876671373844,-0.0812675505876541,-0.1555270390034976,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.022474462,0.01,0.01,0.01,0.01,0.20701791,0.06488457,0.038083337,0.010009351,0.020791242,0.03526557,0.46468472,-0.2289053001044794,0.7796145462112273
0.05,-910327232.0,0.0921713765075352,0.0627825707197189,-0.0058780238032341,-0.0972723364830017,-0.2425592769290629,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.09217138,0.06278257,0.01,0.01,0.01,0.01,0.20701791,0.07384606,0.05446941,0.010008432,0.019699715,0.032615457,0.46468472,-0.2213457263258804,0.7246410577154233
0.06,-910327232.0,0.159447905873116,0.0250538811087608,-0.0203601159155368,-0.1075813174247741,-0.3695420002125336,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15944791,0.025053881,0.01,0.01,0.01,0.01,0.20701791,0.11305666,0.052509874,0.010007603,0.018721785,0.030259892,0.46468472,-0.2150146261589875,0.5305081401163461
0.07,-910327232.0,0.2418358611813347,0.05400200933218,-0.0234769396483898,-0.1095679849386215,-0.4044973254203796,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.24183586,0.05400201,0.01,0.01,0.01,0.01,0.20701791,0.17637144,0.0533707,0.010006855,0.01784471,0.028162094,0.46468472,-0.2115093301369136,0.1724770916110485
0.08,-910327232.0,0.219957477374085,0.0538713335990905,-0.0361268147826194,-0.099374771118164,-0.3953754603862762,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.21995747,0.053871334,0.01,0.01,0.01,0.01,0.20701791,0.20424949,0.0537277,0.010006182,0.017057363,0.026290696,0.46468472,-0.212533782286111,-0.3485466394724488
0.09,-910327232.0,0.1908290658258921,0.0360081568360328,-0.0544535666704177,-0.0760512799024581,-0.3746802806854248,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.19082907,0.036008157,0.01,0.01,0.01,0.01,0.20701791,0.21134736,0.05211602,0.010005573,0.016349556,0.024617705,0.46468472,-0.2190754841816887,-0.8770081503962998
0.1,-910327232.0,0.1420870980149488,0.0121632143855094,-0.0807280167937278,-0.0479508005082607,-0.349251240491867,-2094420721664.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1420871,0.012163214,0.01,0.01,0.01,0.01,0.20701791,0.20413683,0.048019998,0.010005025,0.015714856,0.023125198,0.46468472,-0.2298461358221402,-1.202612991406673
