time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-887101568.0,-0.1166813820600509,-0.017137661576271,-0.0778619050979614,-0.0186745095998048,-0.0130867281966382,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.095517226,0.028098617,0.010022878,0.028201291,0.047818437,0.23761545,-0.2512821407985845,0.732167303611839
0.02,-887101568.0,-0.0936289578676223,0.012939753010869,-0.0582948923110961,-0.0393006056547164,-0.0657942379211095,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.012939753,0.01,0.01,0.01,0.01,0.21594934,0.0852289,0.026502615,0.010020626,0.026323613,0.043725763,0.23761545,-0.2430777754370106,0.8743209081290984
0.03,-887101568.0,-0.0768365487456321,0.0688174217939376,-0.0366043150424957,-0.0600284487009048,-0.1235423672872042,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06881742,0.01,0.01,0.01,0.01,0.21594934,0.07637585,0.055901673,0.010018596,0.024648057,0.04011254,0.23761545,-0.2339687396297823,0.9218931335865664
0.04,-887101568.0,-0.0746470391750335,-0.0154530704021453,-0.0269700065255165,-0.0844843089580535,-0.1546920742107331,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.068704456,0.053125054,0.0100167645,0.02314957,0.03691144,0.23761545,-0.2252189959672267,0.8196159464914698
0.05,-887101568.0,0.0241904985092231,0.0287821497768163,-0.0174229852855205,-0.1017245203256607,-0.1851465916378519,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.024190499,0.02878215,0.01,0.01,0.01,0.01,0.21594934,0.06258677,0.050123844,0.010015112,0.021808596,0.034070812,0.23761545,-0.2180273332918219,0.6394645263216657
0.06,-887101568.0,0.108252867972982,0.068108282983303,-0.0195748135447502,-0.1077238619327545,-0.2768753889886147,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.10825287,0.06810828,0.01,0.01,0.01,0.01,0.21594934,0.08019589,0.06159242,0.010013625,0.020610198,0.03155153,0.23761545,-0.2125920577735402,0.4672119095557623
0.07,-887101568.0,0.1704258198324432,0.0437350459396839,-0.0266865529119968,-0.1054455116391182,-0.3970421628693101,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.17042582,0.043735046,0.01,0.01,0.01,0.01,0.21594934,0.12233591,0.060793657,0.010012284,0.019536484,0.029309416,0.23761545,-0.2091234917055496,0.2390639076731856
0.08,-887101568.0,0.2326916855554929,0.05462047457695,-0.0360166318714618,-0.0971577689051628,-0.3960886001586914,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.23269169,0.054620475,0.01,0.01,0.01,0.01,0.21594934,0.1774191,0.059957772,0.010011075,0.018574279,0.027312178,0.23761545,-0.2084463718979486,-0.0870937930715644
0.09,-887101568.0,0.2055473045383559,0.0490311831235885,-0.0483506508171558,-0.082148753106594,-0.3814126551151275,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.2055473,0.049031183,0.01,0.01,0.01,0.01,0.21594934,0.1985697,0.058800332,0.010009985,0.017711222,0.025530301,0.23761545,-0.2116592294249691,-0.5174625764017361
0.1,-887101568.0,0.1750502399773337,0.0311194397509098,-0.0630226358771324,-0.0627815276384353,-0.3637452721595764,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.17505024,0.03111944,0.01,0.01,0.01,0.01,0.21594934,0.20165919,0.056017734,0.010009002,0.016936509,0.023938438,0.23761545,-0.2191472278944599,-0.9091184589178342
0.1100000000000001,-887101568.0,0.1297971764602475,0.0060330368578433,-0.0932125225663185,-0.0286598391830921,-0.3302482664585113,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.12979718,0.01,0.01,0.01,0.01,0.01,0.21594934,0.19405082,0.051194124,0.010008116,0.01624153,0.02251657,0.23761545,-0.229577093221573,-1.1223707221481014
0.1200000000000001,-887101568.0,0.0995081799636132,-0.0251112412661314,-0.1118877381086349,0.0352848097681999,-0.2617236673831939,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.09950818,0.01,0.01,0.03528481,0.01,0.01,0.21594934,0.18184361,0.046702743,0.010007318,0.029434195,0.021244364,0.23761545,-0.2411545547082825,-1.1518396141647278
0.1299999999999999,-887101568.0,0.0846327690843858,-0.0540573149919509,-0.1422045081853866,-0.0475417003035545,-0.1592982723369152,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08463277,0.01,0.01,0.01,0.01,0.01,0.21594934,0.16885366,0.04274326,0.010006598,0.028378801,0.020105181,0.23761545,-0.2517256650065714,-0.9493836948997308
0.1399999999999999,-887101568.0,0.0088643503710312,-0.0716581866145134,-0.1427031308412552,-0.0044087953865528,-0.0684730794551962,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.15111239,0.0392396,0.010005948,0.0264805,0.019083196,0.23761545,-0.2594056135995834,-0.62294929868653
0.1499999999999999,-887101568.0,-0.0985840708460608,-0.0720928013324737,-0.134684070944786,0.0331589467823505,0.0239628171789143,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.033158947,0.023962818,0.01,0.21594934,0.13215111,0.03613465,0.010005361,0.030867,0.02045458,0.23761545,-0.2638151398115945,-0.307855460813952
0.1599999999999999,-887101568.0,-0.1386932879686355,-0.0598888173699379,-0.1186849176883697,-0.0165479183197021,0.0973948438253393,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.09739485,0.01,0.21594934,0.11628903,0.03337819,0.010004833,0.029715484,0.058249883,0.23761545,-0.2650686379863695,0.0090679968711353
0.1699999999999999,-887101568.0,-0.132410928606987,-0.0406351946294307,-0.1005050092935562,-0.0150918215513229,-0.0151430409430206,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.10295525,0.03093559,0.010004357,0.02767424,0.055901125,0.23761545,-0.2630519695669685,0.3579358759214233
0.1799999999999999,-887101568.0,-0.119600623846054,-0.0186398886144161,-0.0810861513018608,-0.0235129445791244,-0.0221903188033091,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.09158967,0.028759645,0.010003928,0.025852218,0.05083739,0.23761545,-0.2576904888837622,0.659656903551957
0.1899999999999999,-887101568.0,-0.1004621088504791,0.0079654641449451,-0.0642958134412765,-0.0392034538090229,-0.0758464995827237,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.08184624,0.026820445,0.010003542,0.02422553,0.04638333,0.23761545,-0.2499429917524919,0.8479931051817337
0.1999999999999999,-887101568.0,-0.0846536979079246,0.0633496344089508,-0.0361627079546451,-0.0592279024422168,-0.1251375096180932,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.063349634,0.01,0.01,0.01,0.01,0.21594934,0.07345488,0.052011743,0.010003193,0.022773406,0.04246157,0.23761545,-0.2408851047907961,0.9351436317526266
0.2099999999999999,-887101568.0,-0.0358466480181996,-0.0103271501138806,-0.0195923559367656,-0.084048718214035,-0.147266549259263,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.06617474,0.049299106,0.0100028785,0.021473883,0.038993903,0.23761545,-0.2317268897225952,0.8783774700480341
0.2199999999999999,-887101568.0,0.0613234709277137,0.0327028781175613,-0.0208010412752628,-0.1032536625862121,-0.2120434571078303,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.06132347,0.032702878,0.01,0.01,0.01,0.01,0.21594934,0.06202284,0.04714529,0.010002595,0.020309363,0.035919428,0.23761545,-0.2237590190297025,0.728557102897496
0.2299999999999999,-887101568.0,0.1473242748696888,0.0764764994382858,-0.0191297009587287,-0.1117237657308578,-0.3228025246191364,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.14732428,0.0764765,0.01,0.01,0.01,0.01,0.21594934,0.10237566,0.06672168,0.01000234,0.019268632,0.03319853,0.23761545,-0.2174290657368809,0.535736048368781
0.24,-887101568.0,0.2042295177283088,0.0341374762356281,-0.0239843726158142,-0.1109633296728134,-0.4056848585605621,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.20422952,0.034137476,0.01,0.01,0.01,0.01,0.21594934,0.14890155,0.06429244,0.01000211,0.018335592,0.030779842,0.23761545,-0.2138144328826456,0.1875351094071599
0.25,-887101568.0,0.2341830596314628,0.0496307201683521,-0.0363927483558654,-0.0998942032456398,-0.3955464363098144,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.23418306,0.04963072,0.01,0.01,0.01,0.01,0.21594934,0.19518036,0.062462725,0.0100019025,0.017497415,0.028623313,0.23761545,-0.2145226724310887,-0.2947644899978894
0.26,-887101568.0,0.1974512894209745,0.041699331253767,-0.0541535429656505,-0.0769940018653869,-0.3751649558544159,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1974513,0.04169933,0.01,0.01,0.01,0.01,0.21594934,0.20777674,0.060268342,0.010001715,0.016744107,0.026698135,0.23761545,-0.2204076597003844,-0.8048294541583785
0.27,-887101568.0,0.1566632344055151,0.0190882999449968,-0.0779500603675842,-0.0506420210003852,-0.3514122068881988,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15666324,0.0190883,0.01,0.01,0.01,0.01,0.21594934,0.20339198,0.055929154,0.010001547,0.016069153,0.024983902,0.23761545,-0.2305473069758304,-1.1494568928892883
0.28,-887101568.0,0.1131697949997322,-0.0150310304015874,-0.1146836876869201,0.0097558721899986,-0.2929629385471344,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1131698,0.01,0.01,0.01,0.01,0.01,0.21594934,0.19258043,0.050963357,0.010001394,0.015462333,0.023451027,0.23761545,-0.242875065310504,-1.2746374271963967
0.29,-887101568.0,0.090550215536943,-0.0498004108667373,-0.1420274674892425,0.0642604827880859,-0.2092345194820979,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.090550214,0.01,0.01,0.06426048,0.01,0.01,0.21594934,0.17858972,0.046504922,0.010001257,0.049684048,0.02208203,0.23761545,-0.2554927187758566,-1.204722823119004
0.3,-887101568.0,0.0499957866089588,-0.0777127742767334,-0.1562653332948684,-0.0929142534732818,-0.0966592950146266,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.049995787,0.01,0.01,0.01,0.01,0.01,0.21594934,0.16304742,0.042572513,0.010001134,0.047266454,0.020856434,0.23761545,-0.2656738900069342,-0.8206740196166742
0.31,-887101568.0,-0.0456610846363478,-0.0871521979570388,-0.1520296484231948,-0.0307497438043355,-0.0136822180724457,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.14256628,0.039089393,0.010001022,0.04323638,0.019756583,0.23761545,-0.2708968406428929,-0.2835152635104818
0.32,-887101568.0,-0.1433141231536865,-0.0722701475024223,-0.1279469281435012,-0.0080719981342554,0.0750221092808922,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.07502211,0.01,0.21594934,0.1250926,0.03600893,0.010000922,0.03968136,0.043747477,0.23761545,-0.2709186089629161,0.207949913496497
0.33,-887101568.0,-0.130038321018219,-0.0431637316942215,-0.0998381227254867,-0.0054021496325731,0.029453177350698,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.029453177,0.01,0.21594934,0.11043215,0.033277575,0.0100008305,0.036536366,0.043984137,0.23761545,-0.2667450258764711,0.5707921299860789
0.3400000000000001,-887101568.0,-0.10932357609272,-0.0143392402678728,-0.0771423727273941,-0.0198886357247829,0.0232708114268554,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.023270812,0.01,0.21594934,0.097998925,0.030849013,0.0100007495,0.03374557,0.042850714,0.23761545,-0.2598487110937856,0.7620008207931082
0.3500000000000001,-887101568.0,-0.0854815691709518,0.0242104306817054,-0.0536431223154068,-0.0369826853275299,-0.0460552351661019,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.02421043,0.01,0.01,0.01,0.01,0.21594934,0.08735405,0.030019492,0.010000676,0.031261276,0.039469223,0.23761545,-0.2518146805698433,0.8241923969595616
0.3600000000000001,-887101568.0,-0.0745548233389854,0.0639114826917648,-0.0281627848744392,-0.0560038946568965,-0.1099975878447044,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06391148,0.01,0.01,0.01,0.01,0.21594934,0.07821127,0.05331179,0.010000609,0.029052045,0.036344755,0.23761545,-0.2435163898218763,0.8217202913594119
0.3700000000000001,-887101568.0,-0.0778420194983482,-0.0027399989776313,-0.0261038541793823,-0.0748346000909805,-0.1459777942214157,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21594934,0.07029388,0.050831214,0.010000549,0.02708081,0.033569187,0.23761545,-0.2357687774797756,0.7264633186469702
0.3799999999999999,-887101568.0,0.0148980310709043,0.0317700244486331,-0.0198936574161052,-0.0875781923532486,-0.1743377804606669,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.014898031,0.031770024,0.01,0.01,0.01,0.01,0.21594934,0.0636198,0.048412837,0.010000495,0.025322275,0.031102976,0.23761545,-0.2293131867506849,0.5827325838566069
0.3899999999999999,-887101568.0,0.1051296641591536,0.0650360658764839,-0.0132604949176311,-0.0925285071134567,-0.2637124830565096,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.10512967,0.065036066,0.01,0.01,0.01,0.01,0.21594934,0.07911734,0.05899629,0.010000446,0.023753313,0.02891049,0.23761545,-0.2241565301935563,0.4631571902825858
0.3999999999999999,-887101568.0,0.1686546616625659,0.0375678017735481,-0.0344077721238136,-0.0921442806720733,-0.3840702354093828,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.16865467,0.0375678,0.01,0.01,0.01,0.01,0.21594934,0.12078522,0.057735704,0.010000402,0.022350725,0.026956689,0.23761545,-0.2204421470495538,0.2834915328891058
0.4099999999999999,-887101568.0,0.2317240030496662,0.0506856627762317,-0.0398082733154296,-0.0875081196427345,-0.3905958533287048,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.23172401,0.050685663,0.01,0.01,0.01,0.01,0.21594934,0.17604785,0.05679342,0.010000363,0.021096343,0.025214281,0.23761545,-0.2191145211885957,-0.0122792148965009
0.4199999999999999,-887101568.0,0.2064638975849476,0.0467799380421638,-0.0498672053217887,-0.0764704793691635,-0.378773421049118,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.2064639,0.046779938,0.01,0.01,0.01,0.01,0.21594934,0.19813052,0.055724062,0.010000327,0.019972408,0.023656985,0.23761545,-0.2215142088850735,-0.4362593893602496
0.4299999999999999,-887101568.0,0.1766734268699071,0.0292287282645702,-0.0638662055134773,-0.0593498088419437,-0.3619716763496399,-2930435162112.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.17667343,0.029228728,0.01,0.01,0.01,0.01,0.21594934,0.20201387,0.053073168,0.010000295,0.018964717,0.022263886,0.23761545,-0.2282738530094238,-0.8468356331355931
