time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-846180672.0,0.0449994985405978,-0.0630818307399749,-0.1404949426651001,0.0080830976366996,-0.1104628938962638,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.0449995,0.01,0.01,0.01,0.01,0.01,0.23371473,0.1563823,0.043625347,0.0100314375,0.024426896,0.02000675,0.22681294,-0.2512723693923563,-0.6864129814888364
0.02,-846180672.0,-0.0474713926542849,-0.0656482279300689,-0.1309427618980407,0.0379036143422126,-0.0283514447945004,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.037903614,0.01,0.01,0.23371473,0.13731189,0.04001495,0.010028338,0.033359323,0.018993799,0.22681294,-0.2566192799431737,-0.4220381321601892
0.03,-846180672.0,-0.1395340114831924,-0.0575500205159187,-0.1199937015771865,-0.0328409373760223,0.0740181053000189,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.074018106,0.01,0.23371473,0.12065546,0.03682413,0.010025546,0.03224821,0.043364443,0.22681294,-0.2591849665516495,-0.1235182750190123
0.04,-846180672.0,-0.1347876489162445,-0.0425441525876522,-0.1051123812794685,-0.0239211767911911,0.0252828175138617,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.025282817,0.01,0.23371473,0.10665719,0.03399805,0.010023032,0.029930497,0.043362286,0.22681294,-0.258529855669285,0.2206885493372596
0.05,-846180672.0,-0.125018686056137,-0.0214942637830972,-0.0868942365050315,-0.0241332612931728,0.0341707247996569,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.034170724,0.01,0.23371473,0.09474899,0.03148468,0.010020765,0.027864134,0.04647072,0.22681294,-0.2545349964501283,0.5254185807683048
0.06,-846180672.0,-0.1084445193409919,-0.0008133649826049,-0.0706912651658058,-0.0357853509485721,-0.0364187122808208,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23371473,0.08456438,0.029249178,0.010018719,0.02602212,0.042838477,0.22681294,-0.2480505216213633,0.7289189584114468
0.07,-846180672.0,-0.0918603986501693,0.0396559201180934,-0.0491607263684272,-0.050049640238285,-0.0948132907366358,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.03965592,0.01,0.01,0.01,0.01,0.23371473,0.07578981,0.036309782,0.010016875,0.02437699,0.039323695,0.22681294,-0.2400769798236576,0.8374877508246955
0.08,-846180672.0,-0.0844072476029396,0.0229504387825727,-0.0244487971067428,-0.0724699944257736,-0.1349008615264738,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.022950439,0.01,0.01,0.01,0.01,0.23371473,0.06819179,0.03568242,0.010015213,0.022906614,0.03621098,0.22681294,-0.2315340571498026,0.8543442441776901
0.09,-846180672.0,-0.0177010782197266,0.0688182711601257,-0.0240824557840824,-0.0923675224184989,-0.1558737565115547,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.06881827,0.01,0.01,0.01,0.01,0.23371473,0.061594415,0.058168456,0.010013716,0.021593302,0.03345368,0.22681294,-0.2231877938908295,0.8072571576414539
0.1,-846180672.0,0.0702659311208203,0.0171643625944852,-0.0164407789707183,-0.1064289659261703,-0.2306368943918544,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.070265934,0.017164363,0.01,0.01,0.01,0.01,0.23371473,0.06250956,0.05595652,0.010012365,0.020416094,0.030999837,0.22681294,-0.2158238852763872,0.6694604536029475
0.1100000000000001,-846180672.0,0.1386879213824223,0.049729898571968,-0.017560176551342,-0.1124244853854179,-0.3411185081572074,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.13868792,0.0497299,0.01,0.01,0.01,0.01,0.23371473,0.097665384,0.054734226,0.010011148,0.019362522,0.028818062,0.22681294,-0.2102643042501752,0.4554798479827897
0.1200000000000001,-846180672.0,0.2120979211679595,0.0700917765498161,-0.0253669656813144,-0.1094199120998382,-0.4066330194473266,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.21209793,0.07009178,0.01,0.01,0.01,0.01,0.23371473,0.15206313,0.064554974,0.010010052,0.0184188,0.026875127,0.22681294,-0.2072539677168905,0.1553844522851719
0.1299999999999999,-846180672.0,0.219403160048927,0.0442973673343658,-0.0371181368827819,-0.0980995073914527,-0.3960200250148773,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.21940316,0.044297367,0.01,0.01,0.01,0.01,0.23371473,0.18946938,0.06308809,0.0100090625,0.017572474,0.025141725,0.22681294,-0.2080278699474016,-0.2897408064325218
0.1399999999999999,-846180672.0,0.1978266427822324,0.0389672294259071,-0.0528800785541534,-0.0773672461509704,-0.3769068717956543,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.19782664,0.03896723,0.01,0.01,0.01,0.01,0.23371473,0.20337762,0.06045059,0.01000817,0.016811743,0.023590734,0.22681294,-0.2137391516142265,-0.7830124237015441
0.1499999999999999,-846180672.0,0.1579059402313655,0.0201345533132553,-0.0759326517581939,-0.0526502579450607,-0.3541849851608276,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15790594,0.020134553,0.01,0.01,0.01,0.01,0.23371473,0.199744,0.056172445,0.010007367,0.016129704,0.022206018,0.22681294,-0.2236640546111689,-1.129862443363177
0.1599999999999999,-846180672.0,0.1166280096565387,-0.0135285854339599,-0.1118279695510864,0.0066872797906398,-0.2961678504943847,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.116628006,0.01,0.01,0.01,0.01,0.01,0.23371473,0.18992072,0.051192526,0.010006642,0.015516614,0.020965874,0.22681294,-0.2358938605004233,-1.27422144282688
0.1699999999999999,-846180672.0,0.0923328195811791,-0.0471866391599178,-0.1305799484252929,0.0614508055150508,-0.2304496318101883,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.09233282,0.01,0.01,0.061450806,0.01,0.01,0.23371473,0.17674604,0.046706516,0.010005989,0.047716286,0.01985681,0.22681294,-0.2486092120125771,-1.2243160144954397
0.1799999999999999,-846180672.0,0.065409252577797,-0.0751199051737785,-0.1494398415088653,-0.0905675962567329,-0.1240031970160291,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.06540925,0.01,0.01,0.01,0.01,0.01,0.23371473,0.16296063,0.04275023,0.0100054005,0.045459848,0.018862564,0.22681294,-0.2591092049458096,-0.8627060348978227
0.1899999999999999,-846180672.0,-0.0180462321649642,-0.08565354347229,-0.1499960869550705,-0.0317775569856166,-0.0480814386893668,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23371473,0.14412957,0.03924789,0.010004869,0.04164303,0.017969606,0.22681294,-0.2648656409740482,-0.341234835743497
0.1999999999999999,-846180672.0,-0.1191920549394176,-0.0724473297595977,-0.1282742768526077,-0.006106898188591,0.0313405139186437,-3011918430208.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.031340513,0.01,0.23371473,0.12638833,0.036148198,0.010004389,0.038270008,0.023195382,0.22681294,-0.2655030261891952,0.1397336668241167
