time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-598122560.0,0.0547414977940578,-0.0678209587931633,-0.1192845553159713,-0.0092097725719213,-0.178695527031321,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.054741498,0.01,0.01,0.01,0.01,0.01,0.46620888,0.13446991,0.034474004,0.010015443,0.03314088,0.012728281,0.37838873,-0.2525286490879707,0.0250346528205103
0.02,-598122560.0,0.0143451206502359,-0.0426884815096855,-0.0982658714056015,-0.0057896226644515,-0.1411729269689209,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.014345121,0.01,0.01,0.01,0.01,0.01,0.46620888,0.12132011,0.03191236,0.010013924,0.030726714,0.0124580795,0.37838873,-0.2509120031113432,0.247632202469889
0.03,-598122560.0,-0.0419523166639113,-0.0172828696668148,-0.0796039327979087,-0.0181103870272636,-0.0882934362053553,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46620888,0.10728792,0.029633297,0.010012555,0.028577305,0.01221481,0.37838873,-0.2479786684856021,0.3102642861187985
0.04,-598122560.0,-0.1062316517800384,-0.0016864882782101,-0.0697880014777183,-0.0303225088864564,-0.0206742734134707,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46620888,0.09528875,0.027599512,0.010011319,0.026657997,0.011995429,0.37838873,-0.2449955294747983,0.2826398707003263
0.05,-598122560.0,-0.1031553745269775,0.0148143265396356,-0.0643305853009224,-0.0386047437787056,0.0418623242870515,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.014814327,0.01,0.01,0.041862324,0.01,0.46620888,0.08500726,0.026170153,0.010010203,0.024943054,0.024545046,0.37838873,-0.2423602973726462,0.2570878940004121
0.06,-598122560.0,-0.1039572805166244,0.0240284837782382,-0.0621098764240741,-0.0439686104655265,-0.032751087334415,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.024028484,0.01,0.01,0.01,0.01,0.46620888,0.076192975,0.02586937,0.010009199,0.023415709,0.024929857,0.37838873,-0.2394596049475366,0.3338552924942724
0.07,-598122560.0,-0.1085341125726699,0.0243568867444992,-0.0546780675649642,-0.0492625273764133,0.0001970217096954,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.024356887,0.01,0.01,0.01,0.01,0.46620888,0.0685437,0.025710214,0.010008293,0.022047296,0.023401117,0.37838873,-0.2353066528161476,0.4839064865896175
0.08,-598122560.0,-0.1102059110999107,0.0320828184485435,-0.0479381754994392,-0.0569523721933364,-0.0109013617964098,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.03208282,0.01,0.01,0.01,0.01,0.46620888,0.06186184,0.02990562,0.010007474,0.020818233,0.02202916,0.37838873,-0.2295079475983607,0.6400789563466095
0.09,-598122560.0,-0.1086032167077064,0.0203237980604171,-0.0293987244367599,-0.0730758681893348,-0.0471460209095628,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.020323798,0.01,0.01,0.01,0.01,0.46620888,0.05605381,0.029477455,0.010006737,0.019721467,0.020805825,0.37838873,-0.2224271631628416,0.7509641574126549
0.1,-598122560.0,-0.1074175760149955,0.053839735686779,-0.0272190459072589,-0.09074417501688,-0.0897079702401775,-2293939044352.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.053839736,0.01,0.01,0.01,0.01,0.46620888,0.050971735,0.04606372,0.010006074,0.018739812,0.019711623,0.37838873,-0.214534401910192,0.8087030463397977
