time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-686571648.0,0.1589743436151648,0.0105096492916345,-0.0883352160453796,-0.0359293706715106,-0.3378504514694214,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15897435,0.010509649,0.01,0.01,0.01,0.01,0.3441408,0.18622708,0.053711075,0.010038196,0.013742357,0.015236081,0.20446163,-0.2101882772847778,-1.1686291720602022
0.02,-686571648.0,0.1275969314221939,-0.0197599567472934,-0.1196601241827011,0.0294166728854179,-0.26893150806427,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.12759693,0.01,0.01,0.029416673,0.01,0.01,0.3441408,0.1797754,0.048920944,0.010034435,0.024550311,0.014713467,0.20446163,-0.2226945614269024,-1.2849645476599068
0.03,-686571648.0,0.1002554027898229,-0.0508032441139221,-0.1419494748115539,-0.0538123995065689,-0.2417544722557068,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1002554,0.01,0.01,0.01,0.01,0.01,0.3441408,0.16977611,0.04469915,0.010031046,0.02386406,0.014243862,0.20446163,-0.2351037452763482,-1.1725888009157863
0.04,-686571648.0,0.0887907383938469,-0.0741733610630035,-0.1389593482017517,0.0082617625594139,-0.2270989566269318,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.08879074,0.01,0.01,0.01,0.01,0.01,0.3441408,0.15894602,0.040968414,0.010027988,0.022448242,0.013821126,0.20446163,-0.2454631040274562,-0.9251149598027028
0.05,-686571648.0,0.0659224913887618,-0.0824053436517715,-0.1362943798303604,0.0527638234198093,-0.1676424179504653,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.06592249,0.01,0.01,0.052763823,0.01,0.01,0.3441408,0.14791064,0.037673067,0.010025234,0.0434354,0.0134413745,0.20446163,-0.2532559960983216,-0.6483551941507514
0.06,-686571648.0,0.0095974377334754,-0.0781352296471595,-0.1318395882844925,-0.0549189299345016,-0.1109187401304777,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3441408,0.13275431,0.034748178,0.010022749,0.04178239,0.013099325,0.20446163,-0.2576992126199935,-0.2768173121038185
0.07,-686571648.0,-0.0609518358177755,-0.0624291151762008,-0.1161816716194152,-0.0326589569449424,-0.0487886861390884,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3441408,0.11681538,0.03214909,0.010020507,0.038386658,0.012791331,0.20446163,-0.2582731329855289,0.0991634818405705
0.08,-686571648.0,-0.1360629945993423,-0.0381908118724823,-0.0953312292695045,-0.0255110189318656,0.0254956504582105,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.02549565,0.01,0.3441408,0.10340161,0.029841965,0.010018488,0.03538412,0.017890709,0.20446163,-0.2556347912429632,0.3754461239746144
0.09,-686571648.0,-0.1206754148006439,-0.014485515654087,-0.0766017287969589,-0.0298722013831138,0.0460639932009948,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.046063993,0.01,0.3441408,0.09199146,0.027788073,0.0100166695,0.03272025,0.030032875,0.20446163,-0.2509447473209507,0.5295251663913236
0.1,-686571648.0,-0.1038536429405212,0.0087386760860681,-0.0629411935806274,-0.0395961105823516,-0.0223635326450143,-3207853244416.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3441408,0.08218958,0.025953483,0.010015028,0.0303479,0.030848533,0.20446163,-0.2450560862371048,0.6334396576690547
