time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ,SUP_min,ECRL_min,ECRB_min,ECU_min,FCR_min,FCU_min,PQ_min,SUP_max,ECRL_max,ECRB_max,ECU_max,FCR_max,FCU_max,PQ_max,SUP_exc,ECRL_exc,ECRB_exc,ECU_exc,FCR_exc,FCU_exc,PQ_exc,SUP_act,ECRL_act,ECRB_act,ECU_act,FCR_act,FCU_act,PQ_act,wrist_hand_r3_pos,wrist_hand_r3_vel
0.01,-711258304.0,0.1108048615360382,0.068912997841835,-0.0157943703234195,-0.1259553432464599,-0.3290860603000256,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.11080486,0.068913,0.01,0.01,0.01,0.01,0.32070422,0.07738613,0.06370527,0.010016102,0.014762736,0.025248703,0.26679748,-0.1930432696776143,0.4427159805504302
0.02,-711258304.0,0.1548966570049929,0.0574490502476692,-0.0215967781841754,-0.1205847337841987,-0.4137725532054901,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15489666,0.05744905,0.01,0.01,0.01,0.01,0.32070422,0.11404425,0.06369879,0.010014518,0.01428836,0.023688385,0.26679748,-0.189910931754689,0.1909128389605294
0.03,-711258304.0,0.1999696620402756,0.0641969814896583,-0.031197378411889,-0.1093908250331878,-0.4046739935874939,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.19996966,0.06419698,0.01,0.01,0.01,0.01,0.32070422,0.1586573,0.06398976,0.010013089,0.0138612455,0.022291489,0.26679748,-0.1899074334133275,-0.1618306209567837
0.04,-711258304.0,0.1946060966442476,0.0545808374881744,-0.0447214879095554,-0.0905845761299133,-0.3882453441619873,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.1946061,0.054580837,0.01,0.01,0.01,0.01,0.32070422,0.18240608,0.06308027,0.010011799,0.013476784,0.021040536,0.26679748,-0.1939137349594423,-0.5839996778591225
0.05,-711258304.0,0.1829383189232434,0.0364377386868,-0.061278186738491,-0.069209836423397,-0.3694145679473877,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.18293832,0.03643774,0.01,0.01,0.01,0.01,0.32070422,0.19136497,0.06034542,0.010010636,0.013131222,0.019921402,0.26679748,-0.2019609869755262,-0.9587027840556088
0.06,-711258304.0,0.1526136426833068,0.0079332012683153,-0.0932557731866836,-0.0288032554090023,-0.3293657004833221,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.15261364,0.01,0.01,0.01,0.01,0.01,0.32070422,0.18816982,0.05511195,0.010009589,0.012820288,0.018918602,0.26679748,-0.2129901351883324,-1.1938674046543751
0.07,-711258304.0,0.120006471776679,-0.0230520851910114,-0.1239828467369079,0.0343857482075691,-0.2580106258392334,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.12000647,0.01,0.01,0.03438575,0.01,0.01,0.32070422,0.18029717,0.050144527,0.010008645,0.027838647,0.018019862,0.26679748,-0.2255849967385145,-1.2801386582586278
0.08,-711258304.0,0.0957051455271923,-0.0535099953413009,-0.1440770030021667,-0.0668362826108932,-0.2349861860275268,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.095705144,0.01,0.01,0.01,0.01,0.01,0.32070422,0.16940325,0.04577515,0.010007794,0.027096538,0.017213568,0.26679748,-0.2377170199253768,-1.12581111461967
0.09,-711258304.0,0.0880312244085974,-0.0747093707323074,-0.1392711400985717,-0.0203011650592088,-0.195179229762276,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.088031225,0.01,0.01,0.01,0.01,0.01,0.32070422,0.15838419,0.041920222,0.010007027,0.025336834,0.01648965,0.26679748,-0.2472578922558999,-0.8104259471182972
0.1,-711258304.0,0.0479910377408967,-0.0788827836513519,-0.1346227079629898,0.0357634164392948,-0.1396267234705027,-2743303143424.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.047991037,0.01,0.01,0.035763416,0.01,0.01,0.32070422,0.14611569,0.038505122,0.010006334,0.03219874,0.015838386,0.26679748,-0.2535099283705388,-0.4943933936457882
